201동 801호,,,,,,,
,,,,,,,
,"관리비
명세서","전기사용량
(KWh)","관리비 중
전기요금","한전 전기요금
계산 기준","과다납입
액수","과다납입
퍼센트",
2021년,3월,72,"\3,890","\4,160",-\270,-6.5%,
,4월,447,"\85,860","\68,330","\17,530",25.7%,
,5월,433,"\81,440","\64,940","\16,500",25.4%,
,6월,456,"\88,700","\70,510","\18,190",25.8%,
,7월,493,"\88,040","\76,800","\11,240",14.6%,
,8월,727,"\137,730","\124,380","\13,350",10.7%,
,9월,485,"\83,750","\68,540","\15,210",22.2%,
,10월,414,"\72,990","\61,750","\11,240",18.2%,
,11월,479,"\94,670","\77,710","\16,960",21.8%,
,12월,551,"\130,370","\95,390","\34,980",36.7%,
2022년,1월,553,"\130,940","\95,880","\35,060",36.6%,
,2월,487,"\103,560","\79,680","\23,880",30.0%,
,3월,425,"\80,360","\64,450","\15,910",24.7%,
,4월,448,"\88,500","\73,610","\14,890",20.2%,
,5월,384,"\53,190","\53,190",\0,0.0%,아파트 관리비 개정 시행
,6월,354,"\47,910","\47,910",\0,0.0%,
,7월,386,"\53,930",,,,
,8월,520,"\83,080",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,"\244,670",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
